Rank,Title,Year,Duration,Genre,Image
182,Requiem pour un massacre,1985,2 h 22 min.,"Drame, Guerre",https://media.senscritique.com/media/000008869428/300/requiem_pour_un_massacre.jpg
183,Négociateur,1998,2 h 18 min.,"Action, Policier, Drame",https://media.senscritique.com/media/000019879544/300/negociateur.jpg
184,Le Monde de Nemo,2003,1 h 40 min.,"Animation, Aventure, Comédie",https://media.senscritique.com/media/000019700349/300/le_monde_de_nemo.jpg
185,Gran Torino,2008,1 h 56 min.,"Drame, Thriller",https://media.senscritique.com/media/000007087633/300/gran_torino.jpg
186,Le Cabinet du docteur Caligari,1920,1 h 16 min.,"Drame, Thriller, Muet",https://media.senscritique.com/media/000006262054/300/le_cabinet_du_docteur_caligari.jpg
187,E.T. l'extra-terrestre,1982,1 h 55 min.,"Fantastique, Aventure, Science-fiction",https://media.senscritique.com/media/000004854793/300/e_t_l_extra_terrestre.jpg
188,Voyage au bout de l'enfer,1978,3 h 03 min.,"Drame, Guerre",https://media.senscritique.com/media/000014108613/300/voyage_au_bout_de_l_enfer.jpg
189,Shutter Island,2010,2 h 18 min.,Thriller,https://media.senscritique.com/media/000007087624/300/shutter_island.jpg
190,The Big Lebowski,1998,1 h 57 min.,"Comédie, Policier",https://media.senscritique.com/media/000012353514/300/the_big_lebowski.jpg
191,Kill Bill - Volume 1,2003,1 h 51 min.,"Arts martiaux, Action",https://media.senscritique.com/media/000016306773/300/kill_bill_volume_1.jpg
192,Kill Bill - Volume 2,2004,2 h 17 min.,"Action, Arts martiaux",https://media.senscritique.com/media/000019273671/300/kill_bill_volume_2.jpg
193,Annie Hall,1977,1 h 33 min.,"Romance, Comédie dramatique",https://media.senscritique.com/media/000005556545/300/annie_hall.png
194,Luke la main froide,1967,2 h 06 min.,"Drame, Policier",https://media.senscritique.com/media/000018960036/300/luke_la_main_froide.jpg
195,Mary et Max.,2009,1 h 32 min.,"Animation, Comédie dramatique",https://media.senscritique.com/media/000010075106/300/mary_et_max.jpg
196,Tu ne tueras point,2016,2 h 19 min.,"Biopic, Drame, Historique",https://media.senscritique.com/media/000016515800/300/tu_ne_tueras_point.jpg
197,Your Name.,2016,1 h 46 min.,"Animation, Drame, Fantastique",https://media.senscritique.com/media/000016585625/300/your_name.jpg
198,Coco,2017,1 h 45 min.,"Animation, Aventure, Comédie",https://media.senscritique.com/media/000017254032/300/coco.jpg
199,Jurassic Park,1993,2 h 07 min.,"Aventure, Science-fiction",https://media.senscritique.com/media/000021553314/300/jurassic_park.png
200,Le Monde Perdu - Jurassic Park,1997,2 h 09 min.,"Aventure, Science-fiction",https://media.senscritique.com/media/000006798909/300/le_monde_perdu_jurassic_park.jpg
201,Jurassic Park III,2001,1 h 32 min.,"Aventure, Science-fiction",https://media.senscritique.com/media/000006798951/300/jurassic_park_iii.jpg
202,The Invitation,2016,1 h 40 min.,Thriller,https://media.senscritique.com/media/000017432832/300/the_invitation.jpg
